LTE,510,11,41004,104990981,0,106.8322,-6.1869,7988,50,1,1446551984,1747378621,0
LTE,510,11,41004,104991237,0,106.829,-6.188,768,50,1,1446551984,1747387201,0
LTE,510,11,41004,104975110,0,106.8381,-6.1823,9950,50,1,1446551984,1747988701,0
LTE,510,11,43003,110114308,0,106.8102,-6.2491,1147,31,1,1446551984,1746698401,0
LTE,510,11,41004,104991236,0,106.8303,-6.187,3152,45,1,1446551984,1754484241,0
LTE,510,11,41004,104990980,0,106.8343,-6.1834,7110,50,1,1446551984,1747988881,0
LTE,510,11,41003,107547908,0,106.8178,-6.1543,717,46,1,1447313858,1755607261,0
LTE,510,11,41003,107566597,0,106.8297,-6.1496,3773,50,1,1447313858,1746723902,0
LTE,510,11,41003,107570693,0,106.817,-6.1504,7953,50,1,1447313858,1754841182,0
LTE,510,11,51005,130589958,0,107.6,-6.9456,7998,50,1,1447418083,1755407462,0
LTE,510,11,51005,130589956,0,107.5995,-6.9584,13980,33,1,1447418083,1755407462,0
LTE,510,11,51005,130589957,0,107.5891,-6.9645,8521,23,1,1447418083,1755407461,0
LTE,510,11,51009,130593541,0,107.5067,-6.8638,2248,29,1,1447418084,1755406867,0
LTE,510,11,51130,130637062,0,108.5374,-6.7433,2925,41,1,1447500414,1747657081,0
LTE,510,11,41003,107551749,0,106.8252,-6.1475,500,50,1,1448847687,1746722881,0
LTE,510,11,41003,105009926,0,106.8284,-6.1367,500,40,1,1450080073,1747459321,0
LTE,510,11,41004,104992772,0,106.843,-6.1817,4655,19,1,1450243664,1748057281,0
LTE,510,11,51130,130638342,0,108.5412,-6.7149,4906,18,1,1450769136,1747586461,0
LTE,510,11,45101,115227653,0,107.0792,-6.2946,4760,50,1,1450959262,1747530721,0
GSM,510,10,18724,49384,0,116.8333,-1.2338,4082,41,1,1454825462,1789507344,0
GSM,510,10,18724,43215,0,116.8362,-1.2377,6627,23,1,1454825762,1786890181,0
GSM,510,10,18728,40165,0,116.833,-1.228,1432,20,1,1454825762,1774856942,0
GSM,510,10,18728,49405,0,116.8319,-1.2247,1175,23,1,1454826062,1774856942,0
GSM,510,10,18728,49404,0,116.8314,-1.2241,1163,17,1,1454827263,1774856942,0
GSM,510,10,9004,64183,0,122.03,-4.7522,2672,23,1,1459476618,1747188965,0
GSM,510,10,16029,36984,0,112.7337,-7.2131,500,50,1,1458608133,1751421541,0
GSM,510,10,16048,32321,0,112.7373,-7.2879,1000,6,1,1458608136,1784106666,0
GSM,510,10,16089,20931,0,113.5591,-7.0345,1682,2,1,1432727899,1746533641,0
GSM,510,10,16088,30463,0,113.5634,-7.0318,2243,3,1,1432727899,1746533642,0
GSM,510,10,16088,30102,0,113.5474,-7.0444,3377,2,1,1432727870,1746533641,0
GSM,510,10,16048,32324,0,112.7373,-7.2876,1000,21,1,1458608136,1784106666,0
GSM,510,10,16519,44721,0,113.9953,-7.7075,1000,7,1,1458608160,1779322801,0
GSM,510,10,12108,30871,0,104.8608,-3.1844,3920,4,1,1426146693,1757909956,0
GSM,510,10,9004,64821,0,122.0457,-4.7686,10016,22,1,1459476618,1747189021,0
GSM,510,10,9004,64181,0,122.0529,-4.7742,7182,15,1,1459476618,1747188965,0
GSM,510,10,18007,42414,0,116.9075,-1.2588,1000,14,1,1485630813,1789040356,0
LTE,510,10,6214,59496203,0,112.7355,-7.301,4084,16,1,1458832176,1772988125,0
LTE,510,10,6214,59451413,0,112.7378,-7.2902,4590,24,1,1458832176,1772988123,0
LTE,510,10,6214,59496214,0,112.7348,-7.3126,1000,8,1,1446668782,1772988181,0
LTE,510,10,6214,59496204,0,112.7353,-7.3094,1000,16,1,1446668782,1785151263,0
LTE,510,10,6214,59482133,0,112.7326,-7.3081,8376,37,1,1458832176,1772988181,0
LTE,510,10,6219,59399947,0,112.7557,-7.2561,8365,20,1,1458832178,1751505723,0
LTE,510,10,6214,59451403,0,112.7369,-7.2896,1000,12,1,1458832176,1785151262,0
